Year,Median Weekly Earnings 
1979.0,332.0
1980.0,318.0
1981.0,312.0
1982.0,313.0
1983.0,314.0
1984.0,314.0
1985.0,320.0
1986.0,327.0
1987.0,329.0
1988.0,326.0
1989.0,322.0
1990.0,315.0
1991.0,313.0
1992.0,314.0
1993.0,317.0
1994.0,315.0
1995.0,314.0
1996.0,313.0
1997.0,314.0
1998.0,321.0
1999.0,329.0
2000.0,334.0
2001.0,336.0
2002.0,338.0
2003.0,337.0
2004.0,338.0
2005.0,333.0
2006.0,333.0
2007.0,335.0
2008.0,335.0
2009.0,345.0
2010.0,342.0
2011.0,336.0
2012.0,335.0
2013.0,333.0
2014.0,334.0
2015.0,341.0
2016.0,347.0
2017.0,351.0
2018.0,353.0
,
